iter	Passed	Remaining
0	0	60
1	1	64
2	2	68
3	2	71
4	4	77
5	5	81
6	6	80
7	6	76
8	7	79
9	8	77
10	9	75
11	10	77
12	11	79
13	13	80
14	14	81
15	15	82
16	16	81
17	17	81
18	18	79
19	19	78
20	20	76
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	33	63
35	35	62
36	35	61
37	36	60
38	37	59
39	38	58
40	39	57
41	40	55
42	40	54
43	41	53
44	42	52
45	43	51
46	44	49
47	45	48
48	46	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	57	30
65	58	29
66	58	28
67	59	27
68	60	26
69	60	26
70	61	25
71	62	24
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	15
81	68	15
82	69	14
83	70	13
84	70	12
85	71	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	77	2
97	78	1
98	78	0
99	79	0
